#Sensor Mode ID:Sensor Mode Short Name:Is Spotlight flag:Min Duration:Max Duration:Along Track:Cross Track:azmtSampleSTD:azmtSampleExt:sampleInRangeForScene:nearOffNadirStepLength (m):nearOffNadirStep (half):farOffNadirStepLength (m):farOffNadirStep (half):subSatelliteStepLength (m):subSatelliteStep (half)
S2A-001:3:3:15770:5:0:2:0:2:0:2
S2A-002:3:3:15770:5:0:2:0:2:0:2
S2A-003:3:3:15770:5:0:2:0:2:0:2
S2A-004:3:3:15770:5:0:2:0:2:0:2
S2A-005:3:3:15770:5:0:2:0:2:0:2
S2A-006:3:3:15770:5:0:2:0:2:0:2
S2A-007:3:3:15770:5:0:2:0:2:0:2
S2A-008:3:3:15770:5:0:2:0:2:0:2
S2A-009:3:3:15770:5:0:2:0:2:0:2
S2A-010:3:3:15770:5:0:2:0:2:0:2
S2A-011:3:3:15770:5:0:2:0:2:0:2
S2A-012:3:3:15770:5:0:2:0:2:0:2
S2A-013:3:3:15770:5:0:2:0:2:0:2
S2A-014:3:3:15770:5:0:2:0:2:0:2
S2A-015:3:3:15770:5:0:2:0:2:0:2
S2A-016:3:3:15770:5:0:2:0:2:0:2
S2A-017:3:3:15770:5:0:2:0:2:0:2
S2A-018:3:3:15770:5:0:2:0:2:0:2
S2A-019:3:3:15770:5:0:2:0:2:0:2
S2A-020:3:3:15770:5:0:2:0:2:0:2
S2A-021:3:3:15770:5:0:2:0:2:0:2
S2A-022:3:3:15770:5:0:2:0:2:0:2
S2A-023:3:3:15770:5:0:2:0:2:0:2
S2A-024:3:3:15770:5:0:2:0:2:0:2
S2A-025:3:3:15770:5:0:2:0:2:0:2
S2A-026:3:3:15770:5:0:2:0:2:0:2
S2A-027:3:3:15770:5:0:2:0:2:0:2
S2A-028:3:3:15770:5:0:2:0:2:0:2
S2A-029:3:3:15770:5:0:2:0:2:0:2
S2A-030:3:3:15770:5:0:2:0:2:0:2
S2A-031:3:3:15770:5:0:2:0:2:0:2
S2A-032:3:3:15770:5:0:2:0:2:0:2
S2A-033:3:3:15770:5:0:2:0:2:0:2
S2A-034:3:3:15770:5:0:2:0:2:0:2
S2A-035:3:3:15770:5:0:2:0:2:0:2
S2A-036:3:3:15770:5:0:2:0:2:0:2
S2A-037:3:3:15770:5:0:2:0:2:0:2
S2A-038:3:3:15770:5:0:2:0:2:0:2
S2A-039:3:3:15770:5:0:2:0:2:0:2
S2A-040:3:3:15770:5:0:2:0:2:0:2
S2A-041:3:3:15770:5:0:2:0:2:0:2
S2A-042:3:3:15770:5:0:2:0:2:0:2
S2A-043:3:3:15770:5:0:2:0:2:0:2
S2A-044:3:3:15770:5:0:2:0:2:0:2
S2A-045:3:3:15770:5:0:2:0:2:0:2
S2A-046:3:3:15770:5:0:2:0:2:0:2
S2A-047:3:3:15770:5:0:2:0:2:0:2
S2A-048:3:3:15770:5:0:2:0:2:0:2
S2A-049:3:3:15770:5:0:2:0:2:0:2
S2B-001:3:3:12220:5:0:2:0:2:0:2
S2B-002:3:3:12220:5:0:2:0:2:0:2
S2B-003:3:3:12220:5:0:2:0:2:0:2
S2B-004:3:3:12220:5:0:2:0:2:0:2
S2B-005:3:3:12220:5:0:2:0:2:0:2
S2B-006:3:3:12220:5:0:2:0:2:0:2
S2B-007:3:3:12220:5:0:2:0:2:0:2
S2B-008:3:3:12220:5:0:2:0:2:0:2
S2B-009:3:3:12220:5:0:2:0:2:0:2
S2B-010:3:3:12220:5:0:2:0:2:0:2
S2B-011:3:3:12220:5:0:2:0:2:0:2
S2B-012:3:3:12220:5:0:2:0:2:0:2
S2B-013:3:3:12220:5:0:2:0:2:0:2
S2B-014:3:3:12220:5:0:2:0:2:0:2
S2B-015:3:3:12220:5:0:2:0:2:0:2
S2B-016:3:3:12220:5:0:2:0:2:0:2
S2B-017:3:3:12220:5:0:2:0:2:0:2
S2B-018:3:3:12220:5:0:2:0:2:0:2
S2B-019:3:3:12220:5:0:2:0:2:0:2
S2B-020:3:3:12220:5:0:2:0:2:0:2
S2B-021:3:3:12220:5:0:2:0:2:0:2
S2B-022:3:3:12220:5:0:2:0:2:0:2
S2B-023:3:3:12220:5:0:2:0:2:0:2
S2B-024:3:3:12220:5:0:2:0:2:0:2
S2B-025:3:3:12220:5:0:2:0:2:0:2
S2B-026:3:3:12220:5:0:2:0:2:0:2
S2B-027:3:3:12220:5:0:2:0:2:0:2
S2B-028:3:3:12220:5:0:2:0:2:0:2
S2B-029:3:3:12220:5:0:2:0:2:0:2
S2B-030:3:3:12220:5:0:2:0:2:0:2
S2B-031:3:3:12220:5:0:2:0:2:0:2
S2B-032:3:3:12220:5:0:2:0:2:0:2
S2B-033:3:3:12220:5:0:2:0:2:0:2
S2B-034:3:3:12220:5:0:2:0:2:0:2
S2B-035:3:3:12220:5:0:2:0:2:0:2
S2B-036:3:3:12220:5:0:2:0:2:0:2
S2B-037:3:3:12220:5:0:2:0:2:0:2
S2B-038:3:3:12220:5:0:2:0:2:0:2
S2B-039:3:3:12220:5:0:2:0:2:0:2
S2B-040:3:3:12220:5:0:2:0:2:0:2
S2B-041:3:3:12220:5:0:2:0:2:0:2
S2B-042:3:3:12220:5:0:2:0:2:0:2
S2B-043:3:3:12220:5:0:2:0:2:0:2
S2B-044:3:3:12220:5:0:2:0:2:0:2
S2B-045:3:3:12220:5:0:2:0:2:0:2
S2B-046:3:3:12220:5:0:2:0:2:0:2
S2B-047:3:3:12220:5:0:2:0:2:0:2
S2B-048:3:3:12220:5:0:2:0:2:0:2
S2B-049:3:3:12220:5:0:2:0:2:0:2
S2C-001:3:3:6240:5:0:2:0:2:0:2
S2C-002:3:3:6240:5:0:2:0:2:0:2
S2C-003:3:3:6240:5:0:2:0:2:0:2
S2C-004:3:3:6240:5:0:2:0:2:0:2
S2C-005:3:3:6240:5:0:2:0:2:0:2
S2C-006:3:3:6240:5:0:2:0:2:0:2
S2C-007:3:3:6240:5:0:2:0:2:0:2
S2C-008:3:3:6240:5:0:2:0:2:0:2
S2C-009:3:3:6240:5:0:2:0:2:0:2
S2C-010:3:3:6240:5:0:2:0:2:0:2
S2C-011:3:3:6240:5:0:2:0:2:0:2
S2C-012:3:3:6240:5:0:2:0:2:0:2
S2C-013:3:3:6240:5:0:2:0:2:0:2
S2C-014:3:3:6240:5:0:2:0:2:0:2
S2C-015:3:3:6240:5:0:2:0:2:0:2
S2C-016:3:3:6240:5:0:2:0:2:0:2
S2C-017:3:3:6240:5:0:2:0:2:0:2
S2C-018:3:3:6240:5:0:2:0:2:0:2
S2C-019:3:3:6240:5:0:2:0:2:0:2
S2C-020:3:3:6240:5:0:2:0:2:0:2
S2C-021:3:3:6240:5:0:2:0:2:0:2
S2C-022:3:3:6240:5:0:2:0:2:0:2
S2C-023:3:3:6240:5:0:2:0:2:0:2
S2C-024:3:3:6240:5:0:2:0:2:0:2
S2C-025:3:3:6240:5:0:2:0:2:0:2
S2C-026:3:3:6240:5:0:2:0:2:0:2
S2C-027:3:3:6240:5:0:2:0:2:0:2
S2C-028:3:3:6240:5:0:2:0:2:0:2
S2C-029:3:3:6240:5:0:2:0:2:0:2
S2C-030:3:3:6240:5:0:2:0:2:0:2
S2C-031:3:3:6240:5:0:2:0:2:0:2
S2C-032:3:3:6240:5:0:2:0:2:0:2
S2C-033:3:3:6240:5:0:2:0:2:0:2
S2C-034:3:3:6240:5:0:2:0:2:0:2
S2C-035:3:3:6240:5:0:2:0:2:0:2
S2C-036:3:3:6240:5:0:2:0:2:0:2
S2C-037:3:3:6240:5:0:2:0:2:0:2
S2C-038:3:3:6240:5:0:2:0:2:0:2
S2C-039:3:3:6240:5:0:2:0:2:0:2
S2C-040:3:3:6240:5:0:2:0:2:0:2
S2C-041:3:3:6240:5:0:2:0:2:0:2
S2C-042:3:3:6240:5:0:2:0:2:0:2
S2C-043:3:3:6240:5:0:2:0:2:0:2
S2C-044:3:3:6240:5:0:2:0:2:0:2
S2C-045:3:3:6240:5:0:2:0:2:0:2
S2C-046:3:3:6240:5:0:2:0:2:0:2
S2C-047:3:3:6240:5:0:2:0:2:0:2
S2C-048:3:3:6240:5:0:2:0:2:0:2
S2C-049:3:3:6240:5:0:2:0:2:0:2
QPS-001:2:10:6600:5:0:2:0:2:0:2
QPS-002:2:10:6600:5:0:2:0:2:0:2
QPS-003:2:10:6600:5:0:2:0:2:0:2
QPS-004:2:10:6600:5:0:2:0:2:0:2
QPS-005:2:10:6600:5:0:2:0:2:0:2
QPS-006:2:10:6600:5:0:2:0:2:0:2
QPS-007:2:10:6600:5:0:2:0:2:0:2
QPS-008:2:10:6600:5:0:2:0:2:0:2
QPS-009:2:10:6600:5:0:2:0:2:0:2
QPS-010:2:10:6600:5:0:2:0:2:0:2
QPS-011:2:10:6600:5:0:2:0:2:0:2
QPS-012:2:10:6600:5:0:2:0:2:0:2
QPS-013:2:10:6600:5:0:2:0:2:0:2
QPS-014:2:10:6600:5:0:2:0:2:0:2
QPS-015:2:10:6600:5:0:2:0:2:0:2
QPS-016:2:10:6600:5:0:2:0:2:0:2
QPS-017:2:10:6600:5:0:2:0:2:0:2
QPS-018:2:10:6600:5:0:2:0:2:0:2
QPS-019:2:10:6600:5:0:2:0:2:0:2
QPS-020:2:10:6600:5:0:2:0:2:0:2
QPS-021:2:10:6600:5:0:2:0:2:0:2
PPS-001:2:10:6600:10:0:2:0:2:0:2
PPS-002:2:10:6600:10:0:2:0:2:0:2
PPS-003:2:10:6600:10:0:2:0:2:0:2
PPS-004:2:10:6600:10:0:2:0:2:0:2
PPS-005:2:10:6600:10:0:2:0:2:0:2
PPS-006:2:10:6600:10:0:2:0:2:0:2
PPS-007:2:10:6600:10:0:2:0:2:0:2
PPS-008:2:10:6600:10:0:2:0:2:0:2
PPS-009:2:10:6600:10:0:2:0:2:0:2
PPS-010:2:10:6600:10:0:2:0:2:0:2
PPS-011:2:10:6600:10:0:2:0:2:0:2
PPS-012:2:10:6600:10:0:2:0:2:0:2
PPS-013:2:10:6600:10:0:2:0:2:0:2
PPS-014:2:10:6600:10:0:2:0:2:0:2
PPS-015:2:10:6600:10:0:2:0:2:0:2
PPS-016:2:10:6600:10:0:2:0:2:0:2
PPS-017:2:10:6600:10:0:2:0:2:0:2
PPS-018:2:10:6600:10:0:2:0:2:0:2
PPS-019:2:10:6600:10:0:2:0:2:0:2
PPS-020:2:10:6600:10:0:2:0:2:0:2
PPS-021:2:10:6600:10:0:2:0:2:0:2
PPS-022:2:10:6600:10:0:2:0:2:0:2
PPS-023:2:10:6600:10:0:2:0:2:0:2
PPS-024:2:10:6600:10:0:2:0:2:0:2
PPS-025:2:10:6600:10:0:2:0:2:0:2
PPS-026:2:10:6600:10:0:2:0:2:0:2
PPS-027:2:10:6600:10:0:2:0:2:0:2
STR-001:2:10:6600:10:0:2:0:2:0:2
STR-002:2:10:6600:10:0:2:0:2:0:2
STR-003:2:10:6600:10:0:2:0:2:0:2
STR-004:2:10:6600:10:0:2:0:2:0:2
STR-005:2:10:6600:10:0:2:0:2:0:2
STR-006:2:10:6600:10:0:2:0:2:0:2
STR-007:2:10:6600:10:0:2:0:2:0:2
STR-008:2:10:6600:10:0:2:0:2:0:2
STR-009:2:10:6600:10:0:2:0:2:0:2
STR-010:2:10:6600:10:0:2:0:2:0:2
